"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"07/01/2024 16:00 - 07/01/2024 17:00","Norway (NO)","23628.03","23521.88"
"07/01/2024 17:00 - 07/01/2024 18:00","Norway (NO)","23726.30","23410.57"
"07/01/2024 18:00 - 07/01/2024 19:00","Norway (NO)","23496.94","23352.43"
"07/01/2024 19:00 - 07/01/2024 20:00","Norway (NO)","23301.32","23026.52"
"07/01/2024 20:00 - 07/01/2024 21:00","Norway (NO)","23076.81","22897.86"
"07/01/2024 21:00 - 07/01/2024 22:00","Norway (NO)","22842.73","22688.29"
"07/01/2024 22:00 - 07/01/2024 23:00","Norway (NO)","22555.13","22417.81"
"07/01/2024 23:00 - 08/01/2024 00:00","Norway (NO)","22037.32","22006.92"
"08/01/2024 00:00 - 08/01/2024 01:00","Norway (NO)","21582.14","21605.35"
"08/01/2024 01:00 - 08/01/2024 02:00","Norway (NO)","21265.36","21412.67"
"08/01/2024 02:00 - 08/01/2024 03:00","Norway (NO)","21230.11","21153.80"
"08/01/2024 03:00 - 08/01/2024 04:00","Norway (NO)","21148.98","21009.48"
"08/01/2024 04:00 - 08/01/2024 05:00","Norway (NO)","21154.62","21186.96"
"08/01/2024 05:00 - 08/01/2024 06:00","Norway (NO)","21401.18","21475.25"
"08/01/2024 06:00 - 08/01/2024 07:00","Norway (NO)","22603.50","22149.08"
"08/01/2024 07:00 - 08/01/2024 08:00","Norway (NO)","23974.55","23436.13"
"08/01/2024 08:00 - 08/01/2024 09:00","Norway (NO)","24111.77","24174.28"
"08/01/2024 09:00 - 08/01/2024 10:00","Norway (NO)","23917.38","23986.34"
"08/01/2024 10:00 - 08/01/2024 11:00","Norway (NO)","24091.45","23858.48"
"08/01/2024 11:00 - 08/01/2024 12:00","Norway (NO)","24112.90","23917.90"
"08/01/2024 12:00 - 08/01/2024 13:00","Norway (NO)","23995.82","23769.15"
"08/01/2024 13:00 - 08/01/2024 14:00","Norway (NO)","23692.68","23645.66"
"08/01/2024 14:00 - 08/01/2024 15:00","Norway (NO)","23363.27","23595.12"
"08/01/2024 15:00 - 08/01/2024 16:00","Norway (NO)","23659.98","23392.05"
"08/01/2024 16:00 - 08/01/2024 17:00","Norway (NO)","23866.50","23718.39"
"08/01/2024 17:00 - 08/01/2024 18:00","Norway (NO)","23651.18","23486.12"
"08/01/2024 18:00 - 08/01/2024 19:00","Norway (NO)","23388.62","23304.05"
"08/01/2024 19:00 - 08/01/2024 20:00","Norway (NO)","23237.40","23035.25"
"08/01/2024 20:00 - 08/01/2024 21:00","Norway (NO)","23044.44","22829.66"
