"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"06/01/2024 11:00 - 06/01/2024 12:00","Sweden (SE)","22946.00","22597.00"
"06/01/2024 12:00 - 06/01/2024 13:00","Sweden (SE)","22775.00","22506.00"
"06/01/2024 13:00 - 06/01/2024 14:00","Sweden (SE)","22712.00","22423.00"
"06/01/2024 14:00 - 06/01/2024 15:00","Sweden (SE)","22662.00","22461.00"
"06/01/2024 15:00 - 06/01/2024 16:00","Sweden (SE)","23006.00","22811.00"
"06/01/2024 16:00 - 06/01/2024 17:00","Sweden (SE)","23557.00","23214.00"
"06/01/2024 17:00 - 06/01/2024 18:00","Sweden (SE)","23920.00","23345.00"
"06/01/2024 18:00 - 06/01/2024 19:00","Sweden (SE)","23832.00","23133.00"
"06/01/2024 19:00 - 06/01/2024 20:00","Sweden (SE)","23733.00","22745.00"
"06/01/2024 20:00 - 06/01/2024 21:00","Sweden (SE)","23248.00","22204.00"
"06/01/2024 21:00 - 06/01/2024 22:00","Sweden (SE)","22667.00","21631.00"
"06/01/2024 22:00 - 06/01/2024 23:00","Sweden (SE)","21904.00","21123.00"
"06/01/2024 23:00 - 07/01/2024 00:00","Sweden (SE)","21444.00","20593.00"
"07/01/2024 00:00 - 07/01/2024 01:00","Sweden (SE)","21460.00","20405.00"
"07/01/2024 01:00 - 07/01/2024 02:00","Sweden (SE)","21006.00","20186.00"
"07/01/2024 02:00 - 07/01/2024 03:00","Sweden (SE)","20801.00","20068.00"
"07/01/2024 03:00 - 07/01/2024 04:00","Sweden (SE)","20764.00","19963.00"
"07/01/2024 04:00 - 07/01/2024 05:00","Sweden (SE)","20763.00","19909.00"
"07/01/2024 05:00 - 07/01/2024 06:00","Sweden (SE)","20871.00","20001.00"
"07/01/2024 06:00 - 07/01/2024 07:00","Sweden (SE)","21253.00","20339.00"
"07/01/2024 07:00 - 07/01/2024 08:00","Sweden (SE)","21624.00","20482.00"
"07/01/2024 08:00 - 07/01/2024 09:00","Sweden (SE)","22128.00","20964.00"
"07/01/2024 09:00 - 07/01/2024 10:00","Sweden (SE)","22670.00","21265.00"
"07/01/2024 10:00 - 07/01/2024 11:00","Sweden (SE)","23033.00","21567.00"
"07/01/2024 11:00 - 07/01/2024 12:00","Sweden (SE)","22727.00","21687.00"
"07/01/2024 12:00 - 07/01/2024 13:00","Sweden (SE)","22118.00","21627.00"
"07/01/2024 13:00 - 07/01/2024 14:00","Sweden (SE)","22348.00","21580.00"
"07/01/2024 14:00 - 07/01/2024 15:00","Sweden (SE)","22274.00","21695.00"
"07/01/2024 15:00 - 07/01/2024 16:00","Sweden (SE)","22347.00","22044.00"
"07/01/2024 16:00 - 07/01/2024 17:00","Sweden (SE)","22989.00","22468.00"
"07/01/2024 17:00 - 07/01/2024 18:00","Sweden (SE)","23117.00","22701.00"
"07/01/2024 18:00 - 07/01/2024 19:00","Sweden (SE)","22889.00","22541.00"
"07/01/2024 19:00 - 07/01/2024 20:00","Sweden (SE)","23144.00","22256.00"
"07/01/2024 20:00 - 07/01/2024 21:00","Sweden (SE)","22783.00","21828.00"
"07/01/2024 21:00 - 07/01/2024 22:00","Sweden (SE)","22191.00","21246.00"
"07/01/2024 22:00 - 07/01/2024 23:00","Sweden (SE)","21548.00","20662.00"
"07/01/2024 23:00 - 08/01/2024 00:00","Sweden (SE)","20723.00","20137.00"
"08/01/2024 00:00 - 08/01/2024 01:00","Sweden (SE)","20022.00","19981.00"
"08/01/2024 01:00 - 08/01/2024 02:00","Sweden (SE)","19810.00","19779.00"
"08/01/2024 02:00 - 08/01/2024 03:00","Sweden (SE)","19943.00","19707.00"
"08/01/2024 03:00 - 08/01/2024 04:00","Sweden (SE)","19956.00","19739.00"
"08/01/2024 04:00 - 08/01/2024 05:00","Sweden (SE)","20142.00","19912.00"
"08/01/2024 05:00 - 08/01/2024 06:00","Sweden (SE)","20498.00","20499.00"
"08/01/2024 06:00 - 08/01/2024 07:00","Sweden (SE)","21881.00","21929.00"
"08/01/2024 07:00 - 08/01/2024 08:00","Sweden (SE)","23453.00","23314.00"
"08/01/2024 08:00 - 08/01/2024 09:00","Sweden (SE)","24455.00","23756.00"
"08/01/2024 09:00 - 08/01/2024 10:00","Sweden (SE)","24107.00","23693.00"
"08/01/2024 10:00 - 08/01/2024 11:00","Sweden (SE)","23808.00","23708.00"
